chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	2281852	2284100	-	100129534	LOC100129534	265	4.15514049E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	247	1.89539448E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	199	1.44493642E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	181	2.98781673E-2	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	187	1.48327234E-2	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	156	1.66107238E-2	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	186	1.14376668E-2	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	195	1.20085432E-2	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	210	1.3344945E-2	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	202	1.43473812E-2	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	209	1.30105121E-2	DAVIES_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	209	1.06494457E-2	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	244	3.90431954E-1	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	292	5.37364593E-1	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	1116	1.45812474E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	231	7.84307243E-1	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	208	1.60067221E-1	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	328	2.40538116E-1	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	92	9.95170793E-1	DAVIES_SUCCESS
chr1	3541555	3546694	+	127262	TPRG1L	226	5.73617263E-1	DAVIES_SUCCESS
chr1	3547330	3566671	-	49856	WRAP73	256	6.93547425E-1	DAVIES_SUCCESS
chr1	3569128	3652765	+	7161	TP73	440	7.21488235E-1	DAVIES_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	262	7.59278568E-1	DAVIES_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	323	7.48158422E-1	DAVIES_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	320	7.51168504E-1	DAVIES_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	411	8.50267051E-1	DAVIES_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	620	9.00255399E-1	DAVIES_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	497	9.39397234E-1	DAVIES_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	356	9.23219938E-1	DAVIES_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	295	8.78327122E-1	DAVIES_SUCCESS
chr1	4000671	4012643	+	728716	LOC728716	161	5.55853334E-1	DAVIES_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	435	3.14903205E-1	DAVIES_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	765	6.39053291E-1	DAVIES_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	283	1.01218691E-1	DAVIES_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	280	1.50277431E-1	DAVIES_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	568	1.28048828E-1	DAVIES_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	504	3.05933463E-1	DAVIES_SUCCESS
chr1	6161846	6240194	-	26038	CHD5	400	7.11557524E-1	DAVIES_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	228	3.78693415E-1	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	168	1.88889474E-1	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	149	1.3103215E-1	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	127	2.00046892E-1	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	146	2.59145884E-1	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	415	7.99723312E-1	DAVIES_SUCCESS
chr1	6472497	6484730	-	54626	HES2	247	9.84915025E-1	DAVIES_SUCCESS
chr1	6484847	6521004	+	83715	ESPN	290	7.89268932E-1	DAVIES_SUCCESS
chr1	6489893	6489956	-	100422975	MIR4252	222	9.7540968E-1	DAVIES_SUCCESS
chr1	6521213	6526255	-	8718	TNFRSF25	219	6.43968202E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	355	2.93013544E-1	DAVIES_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	271	1.38757313E-1	DAVIES_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	251	1.65833866E-1	DAVIES_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	198	1.99139448E-1	DAVIES_SUCCESS
chr1	6650778	6662929	-	9903	KLHL21	190	2.52367396E-1	DAVIES_SUCCESS
chr1	6673755	6684093	+	148479	PHF13	162	2.85235531E-1	DAVIES_SUCCESS
chr1	6684924	6695646	+	90326	THAP3	162	3.19491214E-1	DAVIES_SUCCESS
chr1	6694227	6761966	-	55735	DNAJC11	288	3.54908392E-1	DAVIES_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	2358	3.48089385E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	282	3.13049569E-1	DAVIES_SUCCESS
chr1	7844379	7905237	+	8863	PER3	509	4.99226973E-1	DAVIES_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	456	6.70987245E-1	DAVIES_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	257	7.80179861E-1	DAVIES_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	161	6.01433847E-1	DAVIES_SUCCESS
chr1	8071778	8086393	-	54206	ERRFI1	171	6.15815014E-1	DAVIES_SUCCESS
chr1	8384389	8404227	+	50651	SLC45A1	251	5.38873631E-1	DAVIES_SUCCESS
chr1	8412463	8877699	-	473	RERE	758	1.34079238E-2	DAVIES_SUCCESS
chr1	8921058	8939151	-	2023	ENO1	235	6.46876439E-3	DAVIES_SUCCESS
chr1	8938893	8939943	+	100505975	ENO1-AS1	219	1.47515798E-2	DAVIES_SUCCESS
chr1	9005892	9035148	+	765	CA6	370	2.18395523E-1	DAVIES_SUCCESS
chr1	9063358	9086404	-	155184	SLC2A7	313	8.55749985E-2	DAVIES_SUCCESS
chr1	9097004	9148510	-	6518	SLC2A5	375	2.21712252E-1	DAVIES_SUCCESS
chr1	9164475	9189229	-	80045	GPR157	273	6.94816558E-1	DAVIES_SUCCESS
chr1	9211726	9211836	-	407040	MIR34A	180	4.50848469E-1	DAVIES_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	441	8.0319919E-1	DAVIES_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	541	8.57893975E-1	DAVIES_SUCCESS
chr1	9599527	9642831	+	84275	SLC25A33	153	6.53783238E-1	DAVIES_SUCCESS
chr1	9648931	9674935	+	199953	TMEM201	167	6.27646533E-1	DAVIES_SUCCESS
chr1	9711789	9789172	+	5293	PIK3CD	210	4.93798795E-1	DAVIES_SUCCESS
chr1	9712667	9714644	-	644997	C1orf200	159	5.30418319E-1	DAVIES_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	209	3.30149597E-1	DAVIES_SUCCESS
chr1	9908333	9970316	-	56998	CTNNBIP1	195	5.49853482E-1	DAVIES_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	118	8.43562368E-1	DAVIES_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	144	8.17046315E-1	DAVIES_SUCCESS
chr1	10057254	10076078	+	116362	RBP7	94	6.55973264E-1	DAVIES_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	210	1.26132145E-1	DAVIES_SUCCESS
chr1	10270763	10441661	+	23095	KIF1B	428	1.48618224E-1	DAVIES_SUCCESS
chr1	10459084	10480201	+	5226	PGD	230	3.22545131E-1	DAVIES_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	222	5.13867757E-1	DAVIES_SUCCESS
chr1	10509775	10512060	+	1325	CORT	190	6.36520151E-1	DAVIES_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	216	8.02612675E-1	DAVIES_SUCCESS
chr1	10535002	10690815	+	5195	PEX14	493	9.65996728E-1	DAVIES_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	398	9.23112836E-1	DAVIES_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	350	4.04454324E-1	DAVIES_SUCCESS
chr1	11072678	11085549	+	23435	TARDBP	219	9.36966646E-2	DAVIES_SUCCESS
chr1	11086579	11107296	-	10747	MASP2	187	5.96819382E-2	DAVIES_SUCCESS
chr1	11114648	11120091	-	6723	SRM	118	3.61169016E-2	DAVIES_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	108	1.91991753E-2	DAVIES_SUCCESS
chr1	11166587	11322608	-	2475	MTOR	186	5.96638781E-3	DAVIES_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	37	5.56965798E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11249345	11256038	+	10218	ANGPTL7	89	5.37009019E-3	DAVIES_SUCCESS
chr1	11333254	11348491	+	29914	UBIAD1	123	8.38236424E-3	DAVIES_SUCCESS
chr1	11539294	11597640	+	57540	PTCHD2	389	3.45320881E-1	DAVIES_SUCCESS
chr1	11708417	11714888	-	26232	FBXO2	241	6.37370171E-1	DAVIES_SUCCESS
chr1	11714431	11723384	+	93611	FBXO44	259	5.46531184E-1	DAVIES_SUCCESS
chr1	11724149	11734409	+	26270	FBXO6	256	5.27818752E-1	DAVIES_SUCCESS
chr1	11734536	11751678	-	10459	MAD2L2	254	3.82291095E-1	DAVIES_SUCCESS
chr1	11751780	11780336	+	374946	DRAXIN	279	1.81781947E-1	DAVIES_SUCCESS
chr1	11796141	11810828	+	57085	AGTRAP	332	6.78792455E-2	DAVIES_SUCCESS
chr1	11845786	11866160	-	4524	MTHFR	409	2.72443935E-2	DAVIES_SUCCESS
chr1	11866152	11903201	+	1185	CLCN6	474	5.18981506E-2	DAVIES_SUCCESS
chr1	11900375	11907674	+	100379251	NPPA-AS1	341	4.88529587E-2	DAVIES_SUCCESS
chr1	11905766	11907840	-	4878	NPPA	334	4.96548511E-2	DAVIES_SUCCESS
chr1	11917520	11918992	-	4879	NPPB	334	8.5572197E-2	DAVIES_SUCCESS
chr1	11979644	11986485	-	90231	KIAA2013	310	9.37137999E-1	DAVIES_SUCCESS
chr1	11994723	12035599	+	5351	PLOD1	370	9.82608999E-1	DAVIES_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	281	9.84854025E-1	DAVIES_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	212	9.61321821E-1	DAVIES_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	345	9.15513726E-1	DAVIES_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	202	8.07909092E-1	DAVIES_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	144	9.06112312E-1	DAVIES_SUCCESS
chr1	12290112	12572098	+	55187	VPS13D	373	9.27762557E-1	DAVIES_SUCCESS
chr1	12567299	12567451	+	677882	SNORA59B	148	7.21118992E-1	DAVIES_SUCCESS
chr1	12627938	12677820	-	9249	DHRS3	359	5.83693838E-1	DAVIES_SUCCESS
chr1	12704565	12727097	+	343066	AADACL4	212	4.09290858E-1	DAVIES_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	235	9.27350356E-1	DAVIES_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	249	9.61493398E-1	DAVIES_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	216	9.61664476E-1	DAVIES_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	181	9.6636816E-1	DAVIES_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	176	1.86020824E-1	DAVIES_SUCCESS
chr1	12907235	12908237	-	649330	LOC649330	156	1.07568813E-1	DAVIES_SUCCESS
chr1	12907260	12908578	-	343069	HNRNPCL1	156	1.07568813E-1	DAVIES_SUCCESS
chr1	12916940	12921764	+	65122	PRAMEF2	124	7.28938403E-2	DAVIES_SUCCESS
chr1	12939032	12946025	-	400735	PRAMEF4	93	5.01568309E-2	DAVIES_SUCCESS
chr1	12952726	12958094	-	343071	PRAMEF10	81	3.9799211E-2	DAVIES_SUCCESS
chr1	12976449	13611550	+	391002	PRAMEF8	44	2.26482399E-1	DAVIES_SUCCESS
chr1	12998301	13369057	-	343068	PRAMEF5	22	9.56684685E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	13182959	13184326	-	440563	LOC440563	20	9.42321538E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	13328195	13331692	-	401940	PRAMEF3	1	3.585E-1	NOT_RUN
chr1	13516065	13747803	+	645425	PRAMEF20	89	3.61399906E-1	DAVIES_SUCCESS
chr1	13801444	13840242	-	126755	LRRC38	379	6.56595284E-1	DAVIES_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	423	1.63614074E-1	DAVIES_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	368	7.66188789E-3	DAVIES_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	1785	4.06744863E-1	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	583	3.90017994E-1	DAVIES_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	823	2.91316655E-1	DAVIES_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	689	6.04984852E-1	DAVIES_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	239	7.18186673E-1	DAVIES_SUCCESS
chr1	15764937	15773153	+	11330	CTRC	242	6.11591826E-1	DAVIES_SUCCESS
chr1	15783222	15798586	+	63036	CELA2A	285	3.10154411E-1	DAVIES_SUCCESS
chr1	15802595	15817895	+	51032	CELA2B	292	2.35384766E-1	DAVIES_SUCCESS
chr1	15817323	15851285	-	842	CASP9	337	2.34314964E-1	DAVIES_SUCCESS
chr1	15853351	15918874	+	23341	DNAJC16	491	3.49990273E-1	DAVIES_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	344	4.09723292E-1	DAVIES_SUCCESS
chr1	15943952	15987552	+	84301	DDI2	407	6.58341854E-1	DAVIES_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	223	8.07696446E-1	DAVIES_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	332	9.23618352E-1	DAVIES_SUCCESS
chr1	16062808	16067884	+	284723	SLC25A34	242	9.15497813E-1	DAVIES_SUCCESS
chr1	16068986	16074292	+	388595	TMEM82	243	8.78065524E-1	DAVIES_SUCCESS
chr1	16083153	16113084	+	54751	FBLIM1	407	5.44373118E-1	DAVIES_SUCCESS
chr1	16133656	16134194	-	440567	UQCRHL	313	2.86065527E-1	DAVIES_SUCCESS
chr1	16160709	16174642	-	729614	FLJ37453	328	1.98779145E-1	DAVIES_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	448	1.60903158E-1	DAVIES_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	348	1.83942298E-1	DAVIES_SUCCESS
chr1	16330730	16333184	+	149563	C1orf64	481	3.2006156E-1	DAVIES_SUCCESS
chr1	16340522	16346089	-	27129	HSPB7	524	3.72088509E-1	DAVIES_SUCCESS
chr1	16345369	16360545	+	1187	CLCNKA	542	3.70881788E-1	DAVIES_SUCCESS
chr1	16355620	16383821	+	1188	CLCNKB	630	2.68502593E-1	DAVIES_SUCCESS
chr1	16384263	16400127	-	348487	FAM131C	529	2.52430343E-1	DAVIES_SUCCESS
chr1	16450831	16482582	-	1969	EPHA2	331	5.10526729E-2	DAVIES_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	258	1.86996528E-1	DAVIES_SUCCESS
chr1	16558181	16563659	-	79363	RSG1	246	4.05706846E-1	DAVIES_SUCCESS
chr1	16576558	16678948	-	54455	FBXO42	389	5.63313183E-1	DAVIES_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	272	3.20954559E-1	DAVIES_SUCCESS
chr1	16722175	16763919	-	374955	SPATA21	317	2.02150917E-1	DAVIES_SUCCESS
chr1	16767166	16786584	+	55707	NECAP2	277	7.18910807E-2	DAVIES_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	235	3.85529269E-2	DAVIES_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	153	6.00315296E-2	DAVIES_SUCCESS
chr1	16888921	16940100	-	55672	NBPF1	42	7.77622947E-3	DAVIES_SUCCESS
chr1	16944750	16971178	-	84809	CROCCP2	25	6.56813426E-1	DAVIES_SUCCESS
chr1	16972068	16976915	+	11209	MST1P2	34	8.46049466E-1	DAVIES_SUCCESS
chr1	17017712	17046652	-	284729	ESPNP	38	7.15507797E-1	DAVIES_SUCCESS
chr1	17066767	17299474	+	9696	CROCC	241	3.20872525E-1	DAVIES_SUCCESS
chr1	17081128	17090975	-	11223	MST1L	5	1.36875044E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17300998	17308081	-	4237	MFAP2	175	2.1220916E-1	DAVIES_SUCCESS
chr1	17312452	17338423	-	23400	ATP13A2	248	1.3297783E-1	DAVIES_SUCCESS
chr1	17345224	17380665	-	6390	SDHB	408	1.68373503E-1	DAVIES_SUCCESS
chr1	17393255	17445948	-	11240	PADI2	478	1.91599891E-1	DAVIES_SUCCESS
chr1	17531620	17572501	+	29943	PADI1	476	1.42992779E-1	DAVIES_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	508	7.3703688E-2	DAVIES_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	631	6.76086955E-2	DAVIES_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	456	2.18169021E-1	DAVIES_SUCCESS
chr1	17733250	17766250	-	55920	RCC2	386	2.14214112E-1	DAVIES_SUCCESS
chr1	17846826	18024370	+	55160	ARHGEF10L	434	9.78579493E-1	DAVIES_SUCCESS
chr1	18081807	18153558	+	81569	ACTL8	352	7.90511658E-1	DAVIES_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	984	2.04041115E-1	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	354	3.71022662E-1	DAVIES_SUCCESS
chr1	18957499	19075360	+	5081	PAX7	495	2.93469054E-2	DAVIES_SUCCESS
chr1	19166092	19186155	-	80834	TAS1R2	456	1.41586528E-2	DAVIES_SUCCESS
chr1	19197923	19229293	-	8659	ALDH4A1	456	7.0839265E-2	DAVIES_SUCCESS
chr1	19209695	19209769	-	100616120	MIR4695	338	1.43777374E-1	DAVIES_SUCCESS
chr1	19230773	19282826	-	126917	IFFO2	509	7.88560238E-1	DAVIES_SUCCESS
chr1	19400999	19536746	-	23352	UBR4	452	8.50137265E-1	DAVIES_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	261	7.36484669E-1	DAVIES_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	226	7.33283331E-1	DAVIES_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	266	7.96774217E-1	DAVIES_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	281	8.6558749E-1	DAVIES_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	267	9.17598196E-1	DAVIES_SUCCESS
chr1	19629201	19638640	-	8574	AKR7A2	289	8.65838552E-1	DAVIES_SUCCESS
chr1	19638739	19658922	+	54896	PQLC2	283	6.39556234E-1	DAVIES_SUCCESS
chr1	19665266	19812066	-	832	CAPZB	672	6.56785614E-1	DAVIES_SUCCESS
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	449	4.54995063E-2	DAVIES_SUCCESS
chr1	19934300	19935138	+	644068	RPS14P3	262	3.40258027E-1	DAVIES_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	286	1.28743419E-2	DAVIES_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	274	1.15574537E-2	DAVIES_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	522	5.79675803E-2	DAVIES_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	273	8.61799101E-1	DAVIES_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	326	4.11464936E-1	DAVIES_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	245	3.22728527E-1	DAVIES_SUCCESS
chr1	20301923	20306932	-	5320	PLA2G2A	278	4.00300289E-1	DAVIES_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	410	9.76014695E-1	DAVIES_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	238	9.25635579E-1	DAVIES_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	188	5.71261262E-1	DAVIES_SUCCESS
chr1	20490483	20501687	-	391013	PLA2G2C	167	3.07590675E-1	DAVIES_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	170	2.40367196E-1	DAVIES_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	518	1.984486E-1	DAVIES_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	370	6.51825258E-2	DAVIES_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	173	1.7748337E-1	DAVIES_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	222	3.03208256E-1	DAVIES_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	379	1.18339153E-1	DAVIES_SUCCESS
chr1	20915443	20945400	+	978	CDA	565	3.05563422E-1	DAVIES_SUCCESS
chr1	20959947	20978004	+	65018	PINK1	436	6.33738517E-1	DAVIES_SUCCESS
